,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,result
26,How Do I Breathe,256386,0.635,0.317,0.479,0.0,0.0935,0.5820000000000001,-8.271,0.0525,97.84299999999999,happy
6,Once Upon a Time,88966,0.565,0.606,0.335,0.9490000000000001,0.171,0.321,-13.964,0.0445,131.045,calm
30,Canción de Cuna,235573,0.389,0.992,0.0238,0.935,0.11900000000000001,0.0946,-29.695,0.0424,72.957,calm
6,Crazy,177466,0.855,0.0505,0.5870000000000001,0.0071400000000000005,0.105,0.64,-4.5889999999999995,0.0336,111.97,happy
72,12:45 - Stripped,179013,0.45899999999999996,0.634,0.214,0.0,0.125,0.397,-10.66,0.0403,163.816,sad
81,Here Comes a Thought,202340,0.75,0.423,0.513,0.0,0.0756,0.47100000000000003,-9.576,0.0876,91.00399999999999,neutral
30,Talk to Me,277327,0.626,0.667,0.32299999999999995,0.0,0.0605,0.23399999999999999,-9.607000000000001,0.0339,130.086,sad
35,Riptide,204280,0.483,0.436,0.731,0.0,0.151,0.484,-6.696000000000001,0.0381,101.654,sad
54,Wow,190973,0.654,0.151,0.884,0.000268,0.379,0.851,-5.466,0.20199999999999999,124.072,happy
82,Dark Blue Wind,204800,0.298,0.95,0.09,0.912,0.0977,0.0923,-25.264,0.0426,98.314,calm
51,Loving Is Easy,155720,0.7559999999999999,0.217,0.609,0.00474,0.096,0.537,-7.9270000000000005,0.0544,117.023,happy
38,She Wouldn't Be Gone,215613,0.509,0.153,0.662,0.0,0.0773,0.231,-4.873,0.0293,160.129,sad
48,If I'm Being Honest,279324,0.435,0.919,0.191,0.033,0.114,0.193,-12.436,0.0396,112.1,sad
86,Soft Skin,117747,0.9,0.8440000000000001,0.107,0.00454,0.10800000000000001,0.715,-19.516,0.13,106.074,neutral
72,Onio,132000,0.307,0.976,0.196,0.935,0.10400000000000001,0.262,-13.442,0.0454,143.211,calm
